release_date,title,artist,ranking,certification,streams,image,spotify,apple
2025-12-16,Da REAList,Plies,#14,,"1,367,477,503",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_16/Plies-%20Da%20REAList.jpg,https://open.spotify.com/album/2odMjBXzTq94QWJtiYrc1b,https://music.apple.com/us/album/da-realist/1443201239
2025-12-16,iSouljaBoyTellEm,Soulja Boy,#43,,"681,446",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_16/ISouljaBoyTellem.jpg,https://open.spotify.com/album/2zwyBK8ea29FqWuY8IiRJu,https://music.apple.com/us/album/isouljaboytellem/1443201239
2025-12-16,"Filthy America... It's Beautiful",The Lox,#42,,"10,113,240","https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_16/Filthy%20America...%20It's%20Beautiful.jpg",https://open.spotify.com/album/3YV6ieGeb9gIp39uKJKXwd,https://music.apple.com/us/album/filthy-america-its-beautiful/1440924425
2025-12-16,Us or Else: Letter to the System,T.I.,,,"23,096,589",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_16/Us%20or%20Else_%20Letter%20to%20the%20System.jpg,https://open.spotify.com/album/4LE0rkWoiZV5ciq4UCzLia,https://music.apple.com/us/album/us-or-else-letter-to-the-system/1440939767
2025-12-17,Underground Luxury,B.o.B,#22,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_17/Underground%20Luxury.jpg,https://open.spotify.com/track/2LvRR121MWFmmEGkuV2vPeS,https://music.apple.com/us/album/underground-luxury/737018832
2025-12-17,II: Hard Candy,Dark Side Poet,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_17/Dark%20Side%20Poet-%20II_%20Hard%20Candy.jpg,,
2025-12-17,Surrounded by Criminals,Ghetto Twiinz,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_17/Surrounded_By_Criminals.jpg,,
2025-12-17,"Christmas N' Memphis",Indo G,,,,"https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_17/Christmas%20N'%20Memphis.jpg",,
2025-12-17,Game Time,"Lil' Romeo",#33,,,"https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_17/Lil'%20Romeo-%20Game%20Time.jpg",,https://music.apple.com/us/album/lil-romeo/723442476
2025-12-17,Live from Space,Mac Miller,#47,,"60,012,421",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_17/Live%20from%20Space.jpg,https://open.spotify.com/album/52Bso9BSusrjWj3SA3bBzM,https://music.apple.com/us/album/live-from-space/1666539510
2025-12-17,Land of the Crooks,Sean Price & M-Phazes,,,"6,743,348",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_17/Land%20of%20the%20Crooks.jpg,https://open.spotify.com/album/53EOSSSziMK8C1QWa9S3ZY,https://music.apple.com/us/album/land-of-the-crooks/1523400532
2025-12-18,Business as Usual,EPMD,#36,Gold,"6,410,419",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_18/Business%20as%20Usual.jpg,https://open.spotify.com/album/4InIe7DN4J5mIXYVlxDD7r,https://music.apple.com/us/album/business-as-usual/1443839321
2025-12-18,Kill at Will,Ice Cube,#34,Platinum,"1,331,016",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_18/Ice%20Cube-Kill%20at%20Will.jpg,https://open.spotify.com/album/7oeFV70h2fDapspboicRP5,https://music.apple.com/us/album/kill-at-will-ep/1442853961
2025-12-18,Stillmatic,Nas,#5,Platinum,,"https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_18/Stillmatic,jpg.jpg",https://open.spotify.com/album/0cLzuJG2UDa0axMQkF7JR6,https://music.apple.com/us/album/stillmatic/868691176
2025-12-18,Iron Flag,Wu-Tang Clan,#32,Gold,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_18/Iron%20Flag.jpg,https://open.spotify.com/album/3zrfdc7xK2ClSRasyBbunq,https://music.apple.com/us/album/enter-the-wu-tang-36-chambers-expanded-edition/269842381
2025-12-18,Game Face,Master P,#72,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_18/Iron%20Flag.jpg,https://open.spotify.com/album/2m9Zet3Z31b0cy867GWccu,https://music.apple.com/us/album/game-face/1703339147
2025-12-18,Tarantula,Mystikal,#33,Gold,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_18/Mystikal-%20Tarantula.jpg,https://open.spotify.com/album/0TqesWoOVMixszgdot3Jcs,https://music.apple.com/us/album/tarantula/304790322
2025-12-18,Ryde or Die Vol. 3: In the \,Ruff Ryders,#45,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_18/Ryde%20or%20Die%20Vol.%203_%20In%20the%20R%20We%20Trust.jpg,https://open.spotify.com/album/1mQkCjNNs32GHM7nlEpA2N,https://music.apple.com/us/album/ryde-or-die-vol-3-in-the-r-we-trust/1443892351
2025-12-18,Doggy Bag,"Lil' Bow Wow",#11,Platinum,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_18/Doggy%20Bag.jpg,https://open.spotify.com/album/3QYnKegTMFDSwUPE6r17db,https://music.apple.com/us/album/doggy-bag/1116982670
2025-12-18,Hate It or Love It,Chingy,#84,,"14,838,907",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_18/Hate%20It%20or%20Love%20It.jpg,https://open.spotify.com/album/7d3C55wZ3R9bmpXkXsgtTV,
2025-12-18,"Lupe Fiasco's The Cool",Lupe Fiasco,#14,Gold,"34,635,063","https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_18/Lupe%20Fiasco's%20The%20Cool.jpg",https://open.spotify.com/album/0MihD70HInk2rDaChdAdEy,
