release_date,title,artist,ranking,certification,streams,image,spotify,apple
2025-06-19,Still Doubted?,Lil Wyte,,,"4,411,279",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_19/Still_Doubted.jpg,https://open.spotify.com/album/0WRA3MJsb6WdFjljkCTFwm?si=BwprAqrWRM-2dIB9X8fwqg,https://music.apple.com/in/album/still-doubted/530184538
2025-06-19,The Last Outlaw,Pastor Troy,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_19/Pastor%20Troy-%20The%20Last%20Outlaw.jpeg,,https://music.apple.com/in/music-video/the-last-outlaw/553239677
2025-06-19,Return Of Dragon,Sisqo,#7,Platinum,"8,171,262",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_19/Return_of_Dragon_album_cover.jpg,https://open.spotify.com/album/4hRX5aWsGZeBAYNzxzfAsU?si=Tm0t1a-GTl2m8em4dxytVw,https://music.apple.com/in/album/return-of-dragon/1450669713
2025-06-19,Tongues,Esham,#195,,"529,453",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_19/Esham_Tongues.jpeg,https://open.spotify.com/album/5qqvGRNMPiVUquBvPHidDV?si=HHMJeLgrQtGpJtG3VN8fpA,https://music.apple.com/in/album/tongues/289290133
2025-06-19,The Death of Tragedy,Tragedy Khadafi,,,"123,554",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_19/Tragedy%20Khadafi-%20The%20Death%20of%20Tragedy.jpg,https://open.spotify.com/album/0bIg6Fi3JXSu3ZJnUvRYTv?si=biIUIYWmS3SiBJM8fcj9DA,https://music.apple.com/in/album/the-death-of-tragedy/1451317907
2025-06-20,"What's on My Mind?",The Dayton Family,,,"5,829,151","https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_20/The_Dayton_Family_What's_on_My_Mind.jpg",https://open.spotify.com/track/3yoJrQSE41w8rdvS2RZAnF?si=545cd1c1e0a0471d,https://music.apple.com/in/album/whats-on-my-mind/588758599?i=588758733
2025-06-20,ESGN,Freddie Gibbs,,,"16,801,010",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_20/Freddie_Gibbs_ESGN.jpg,https://open.spotify.com/album/2CKPvOCCB1aCh5ZHoXm5vT?si=lre9SQijTJG-wUIrDZtyYQ,https://music.apple.com/in/album/esgn-evil-seeds-grow-naturally/660371267
2025-06-20,International Artist,A Boogie wit da Hoodie,,,"122,381,794",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_20/A%20Boogie%20wit%20da%20Hoodie-%20International%20Artist.jpg,https://open.spotify.com/album/6opJjTuHd4tQ1h2qrus7jH?si=H92Td1dbT7iGB1WBvYDzPg,https://music.apple.com/in/album/international-artist/1399277166
2025-06-20,2000,Grand Puba,#48,,"78,814,882",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_20/2000.jpg,https://open.spotify.com/track/0yHdSCfTwKhhoehb4Fc6WF?si=49b6058603324300,https://music.apple.com/in/album/2000/1604619699?i=1604619705
2025-06-20,Mack 10,Mack 10,#33,Gold,"111,967,233",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_20/Mack-10-album.jpg,https://open.spotify.com/album/0SIJmYjQu1tjhRpZpdPyAO?si=OA2FJzSrTFKb0Xkkd4Z_wQ,https://music.apple.com/in/album/mack-10-mack-10/724652041?i=724652297
