release_date,title,artist,ranking,certification,streams,image,spotify,apple
2025-10-06,On the Run,Fat Trel,,,"3,555,712",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_6/Fat%20Trel-%20On%20the%20Run.jpg,https://open.spotify.com/album/5EILOoIv3Qy6cbjaHCEKvm,https://music.apple.com/us/album/on-the-run/1749343633
2025-10-06,The Rooftop,Jim Jones & Webstar,,,"1,626,443",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_6/Jim%20Jones%20&%20Webstar-%20The%20Rooftop.jpg,https://open.spotify.com/album/56GinimOi94uwpaiOmVHzj,https://music.apple.com/us/album/the-rooftop-bonus-track-version/332601805
2025-10-06,Stay Tuned,Kodie Shane,,,"495,494",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_6/Kodie%20Shane-%20Stay%20Tuned.jpg,https://open.spotify.com/album/7Hfp9r20ACNwK8nGqhKCJ9,https://music.apple.com/gb/album/stay-tuned-ep/1455640802
2025-10-06,Thug Brothers 3,Krayzie Bone & Young Noble,,,"3,406,281",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_6/Thug%20Brothers%203.jpg,https://open.spotify.com/album/7AR4zvTtBpjKY1Xo32q59i,https://music.apple.com/gb/album/thug-brothers-3/1670218114
2025-10-06,Kuruption!,Kurupt,#8,Platinum,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_6/Kurupt%20Kuruption!.jpg,https://open.spotify.com/album/4dSH1oNZoziNjKAanUimWd,https://music.apple.com/us/album/kuruption/1444156807
2025-10-06,Lil Pump,Lil Pump,#3,Gold,"1,685,163,552",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_6/LilPump.jpg,https://open.spotify.com/album/2VVvm4zJlUQm9XmBCvGN6z,https://music.apple.com/au/album/lil-pump/1292381888
2025-10-06,Designer Talk,Lil Tracy,,,"26,519,165",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_6/Lil%20Tracy-%20Designer%20Talk.jpg,https://open.spotify.com/album/2qcdNOYy6laFvF7N6tTAae,https://music.apple.com/us/album/designer-talk-ep/1504585065
2025-10-06,The Recipe,Mack 10,#15,Gold,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_6/Mack%2010-%20The%20Recipe.jpg,https://open.spotify.com/album/31i0T4i6VKGdBBYI5QiuKp,https://music.apple.com/us/album/the-recipe/723780444
2025-10-06,Perception,NF,#1,Platinum,"3,927,785,854",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_6/Nf_perception.jpg,https://open.spotify.com/album/1KOmHyNLuOe5YrPhD3Juuf,https://music.apple.com/us/album/perception/1440848910
2025-10-06,"Dearest Christian, I'm So Very Sorry for Bringing You Here. Love, Dad",P.M. Dawn,,,"855,471",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_6/Dearestchristian.jpg,,
2025-10-06,"Guilty 'til Proven Innocent",Prime Suspects,#36,,,"https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_6/Guilty%20'til%20Proven%20Innocent.jpg",https://open.spotify.com/album/0SqxoEUfmRTTKJ7ro8DAsb,https://music.apple.com/gt/album/guilty-til-proven-innocent/1570932359
2025-10-06,Anti-Hero,Slaine & Termanology,,,"2,997,538",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_6/Slaine%20&%20Termanology-%20Anti-Hero.jpg,https://open.spotify.com/album/56mcSPM0GOwj3xDvkxfeAo,https://music.apple.com/gb/album/anti-hero/1272376466
2025-10-06,Mobstability,Twista & the Speedknot Mobstaz,#34,Gold,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_6/Mobstability.jpg,https://open.spotify.com/track/0CPffVCSb7av0RTIzFQdFF,https://music.apple.com/us/album/mobstability/251005684
2025-10-07,NehruvianDoom,Bishop Nehru & MF Doom,#59,,"22,959,997",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/NehruvianDOOM.jpg,,
2025-10-07,Romeo Knight,Boogie Boys,#117,,"66,350",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/Boogie%20Boys-%20Romeo%20Knight.jpg,https://open.spotify.com/album/0JYFwCrraqXehCH56C3l8D,https://music.apple.com/us/album/romeo-knight/1386366567
2025-10-07,The Struggle,Cappadonna,,,"202,460",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/Cappadonna-%20The%20Struggle.jpg,https://open.spotify.com/album/3sEqYOZjjOJwEU6iovV2c3,https://music.apple.com/gb/album/the-struggle/72855879
2025-10-07,Landing Gear,Devin the Dude,#47,,"4,091,316",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/Devin%20the%20Dude-%20Landing%20Gear.jpg,https://open.spotify.com/album/7gzGlH2nhn9eR1UBsJqLM2,https://music.apple.com/us/album/landing-gear/1774816911
2025-10-07,"You're Dead!",Flying Lotus,#19,,"149,888,061","https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/Flying%20Lotus-%20You're%20Dead!.jpg",https://open.spotify.com/album/29luvT98TnqHjVDYSRbbrj,https://music.apple.com/gb/album/youre-dead/908342744
2025-10-07,Full Circle,Hieroglyphics,#155,,"34,542,944",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/Hieroglyphics-%20Full%20Circle.jpg,https://open.spotify.com/album/0pc0aFxHc3yxwk6WK7bKrx,https://music.apple.com/nz/album/full-circle/6564531
2025-10-07,Champion Sound,Jaylib,#179,,"27,243,595",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/Jaylib-%20Champion%20Sound.jpg,https://open.spotify.com/album/0zkhTVHYyDMxFdhVCKGNFa,https://music.apple.com/us/album/champion-sound/1139031508
2025-10-07,Bounce to This,K-Gee,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/K-Gee-%20Bounce%20to%20This.jpg,https://open.spotify.com/album/4oBlHhlfYGUgSLOvCeSpfk,https://music.apple.com/us/album/bounce-to-this/794865557
2025-10-07,Feature Presentation,Kutt Calhoun,,,"8,370,022",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/Kutt%20Calhoun-%20Feature%20Presentation.jpg,https://open.spotify.com/album/2wVkPmb4ahfnkn5NRB85Vr,https://music.apple.com/gb/album/feature-presentation/292701277
2025-10-07,Chicken-n-Beer,Ludacris,#1,Platinum,"127,167,415",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/Ludacris-%20Chicken-n-Beer.jpg,https://open.spotify.com/album/3hJHXxX04PNuGFIxdEHGzg,https://music.apple.com/us/album/chicken-n-beer/1440760796
2025-10-07,Later That Day,Lyrics Born,,,"7,753,769",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/Lyrics%20Born-%20Later%20That%20Day.jpg,https://open.spotify.com/album/37nLVTXSLXDe2c5h0CsM7G,https://music.apple.com/us/album/later-that-day/963924280
2025-10-07,Sonic Jihad,Paris,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/Sonic_jihad.jpg,https://open.spotify.com/album/771mcJ5mQzXBCoiNeBLNu0,https://music.apple.com/ca/album/sonic-jihad/126270048
2025-10-07,Welcome to the Rap Game,Pastor Troy,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/Pastor%20Troy-%20Welcome%20to%20the%20Rap%20Game.jpg,https://open.spotify.com/album/5Tscy56Y29VIhkmtQSzXtH,
2025-10-07,Beauty and the Beast,Rapsody,,,"4,742,158",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/Rapsody-%20Beauty%20and%20the%20Beast.jpg,https://open.spotify.com/album/5uKsFtKbnipeJOUkKT1QaG,https://music.apple.com/us/album/beauty-and-the-beast-ep/926078298
2025-10-07,Champion Sounds,Roc Raida,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/Roc%20Raida-%20Champion%20Sounds.jpg,,
2025-10-07,Birth of a Prince,RZA,#49,,"24,012,787",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/RZA-%20Birth%20of%20a%20Prince.jpg,https://open.spotify.com/album/54TKCQqJTfYF7P730Nza5q,https://music.apple.com/gh/album/birth-of-a-prince/1436096444
2025-10-07,The Book of Shabazz (Hidden Scrollz),Shabazz the Disciple,,,"2,793,978",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/The%20Book%20of%20Shabazz%20(Hidden%20Scrollz).jpg,https://open.spotify.com/album/3XqZ5vdgOJ4WOvYpEtNwpN,https://music.apple.com/us/album/book-of-shabazz-the-hidden-scrollz/301803713
2025-10-07,8 Million Stories,Soul Position,,,"2,933,250",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/Soul%20Position-%208%20Million%20Stories.jpg,https://open.spotify.com/album/017oQkDylucFguwTmZuTkV,https://music.apple.com/gb/album/8-000-000-stories/1516751661
2025-10-07,The Highlite Zone,The High & Mighty,,,"179,182",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/The%20High%20&%20Mighty-The%20Highlite%20Zone.jpg,https://open.spotify.com/album/5S3bgthSPgUc3I6OZuzcJQ,https://music.apple.com/us/album/the-highlite-zone/1352858331
2025-10-07,Hell Can Wait,Vince Staples,#90,,"100,716,681",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_7/Vince%20Staples-%20Hell%20Can%20Wait.jpg,https://open.spotify.com/album/7mxpMxmMM8RN39YRlo08v7,https://music.apple.com/us/album/hell-can-wait-ep/1440848241
2025-10-08,Dangerous Connection,7L & Esoteric,,,"5,153,212",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_8/7L%20&%20Esoteric-%20Dangerous%20Connection.jpg,https://open.spotify.com/album/1WW8vRSnseIom1EzPkiNjW,https://music.apple.com/gb/album/dangerous-connection/27760962
2025-10-08,The Chosen Few,Boot Camp Clik,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_8/Boot%20Camp%20Clik-%20The%20Chosen%20Few.jpg,https://open.spotify.com/album/4MS4JsPAXTw9bnemOS4wDp,https://music.apple.com/gb/album/the-chosen-few/338151286
2025-10-08,Old,Danny Brown,#18,,"125,983,467",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_8/Danny_Brown_Old.jpg,https://open.spotify.com/album/5SC0415RIGVX9ZfL0tfbAl,https://music.apple.com/us/album/old/705667288
2025-10-08,To Whom It May Concern…,Freestyle Fellowship,,,"2,812,856",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_8/Freestyle%20Fellowship-%20To%20Whom%20It%20May%20Concern...jpg,https://open.spotify.com/album/6ASYQrrbSf56Wi6uoPejAz,https://music.apple.com/ca/album/to-whom-it-may-concern/5335365
2025-10-08,Power in Numbers,Jurassic 5,#15,,"145,677,247",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_8/Power_in_Numbers.jpg,https://open.spotify.com/album/2w9KjhjN2oMGhEvE15HK5T,https://music.apple.com/us/album/power-in-numbers/1673109407
2025-10-08,Respect All Fear None,Krumb Snatcha,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_8/Krumb%20Snatcha-%20Respect%20All%20Fear%20None.jpg,https://open.spotify.com/album/7qZtclbyHuKSjaJVmKj43x,https://music.apple.com/ca/album/respect-all-fear-none/324816890
2025-10-08,1st Class,Large Professor,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_8/Large%20Professor-%201st%20Class.jpg,https://open.spotify.com/album/47NAQR7ec4lG6jnDgnhtj8,https://music.apple.com/us/album/1st-class/1590335686
2025-10-08,My Name Is My Name,Pusha T,#4,,"240,247,321",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_8/Pusha_T_-_My_Name_Is_My_Name.jpg,https://open.spotify.com/album/42oQv8fbI5CbeuAasf2ILC,https://music.apple.com/us/album/my-name-is-my-name/1440822381
2025-10-08,Mr. Scarface Is Back,Scarface,#51,Gold,"9,995,670",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_8/Scarface-%20Mr.%20Scarface%20Is%20Back.jpg,,
2025-10-08,Double Dose,Tela,#116,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_8/Tela-Double%20Dose.jpg,https://open.spotify.com/album/0O7P5rIEn1cx8EjUUQuHPg,https://music.apple.com/ng/album/double-dose/709079246
2025-10-08,Goya,Termanology,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_8/Termanology-Goya.jpg,https://open.spotify.com/album/3J2rowGXXJadrfCCU2rC4r,https://music.apple.com/us/album/g-o-y-a-gunz-or-yay-available/700386160
2025-10-08,The Compilation,UTP,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_8/The_Compilation.jpg,https://open.spotify.com/album/5GLNpKQUeMb5gc7Cu8X4M9,
2025-10-09,The Dream Merchant Vol. 2,9th Wonder,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_9/The%20Dream%20Merchant%20Vol.%202.jpg,https://open.spotify.com/album/4O7WniIvsAnXmOJ7seyh2h,https://music.apple.com/us/album/the-dream-merchant-2/266840048
2025-10-09,"Dark Days, Bright Nights",Bubba Sparxxx,#3,Gold,,"https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_9/Bubba%20Sparxxx-%20Dark%20Days,%20Bright%20Nights.jpg",https://open.spotify.com/album/2Vf1dnpsBd9Nyd0cQ0P5bt,https://music.apple.com/us/album/dark-days-bright-nights/1443545493
