release_date,title,artist,ranking,certification,streams,image,spotify,apple
2025-05-03,Damn Fool,Big Scoob,,,"1,884,657",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_3/Big%20Scoob-%20Damn%20Fool.jpeg,https://open.spotify.com/album/1atcxvAhRCi2thwXWiv1BO?si=7d28c78bfbca4b8a,https://music.apple.com/us/album/damn-fool/719635640
2025-05-03,Native Sun,Blitz the Ambassador,#4,Platinum,"738,605",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_3/Blitz%20the%20Ambassador-%20Native%20Sun.jpg,https://open.spotify.com/album/04lOb0mb15dHJJJHA3ICzQ?si=7b275b08b4f84fad,https://music.apple.com/us/album/native-sun/430514539
2025-05-03,We Mafia,The Jacka,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_3/The%20Jacka-%20We%20Mafia.jpg,https://open.spotify.com/album/5hEaYyhImnFF2bklHw7OLC?si=0957a1e921994f6d,https://music.apple.com/us/album/we-mafia/429524238
2025-05-03,Unfuccwithable,Asian Da Brat,,,"2,783,447",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_3/Asian%20Da%20Brat-Unfuccwithable.jpg,,
2025-05-03,TrapStar Turnt PopStar,PnB Rock,#4,,"503,817,490",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_3/PnB_Rock_-_TrapStar_Turnt_PopStar.png,https://open.spotify.com/album/3TaYhEM7MtqukeISKBV2cx?si=7428359d532448e8,https://music.apple.com/us/album/trapstar-turnt-popstar/1459325904
2025-05-03,S.P. The GOAT: Ghost of All Time,Styles P,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_3/Styles%20P-%20S.P.%20The%20GOAT_%20Ghost%20of%20All%20Time.jpg,https://open.spotify.com/album/701Unuj1hyw9dDXGxKrdx6?si=9b644dd8c10a4511,https://music.apple.com/us/album/s-p-the-goat-ghost-of-all-time/1459307524
2025-05-03,STILL,TOBi,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_3/TOBi-%20STILL.jpg,https://open.spotify.com/album/7Hl7a3OwJyItxjS0TpYWtN?si=cd1e58840a054607,https://music.apple.com/us/album/still/1486961855
2025-05-03,UnderTheWillowTree,Bones,,,"32,430,423",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_3/Bones-%20UnderTheWillowTree.jpg,https://open.spotify.com/album/1H9j7RDcI6mLtbnRbJX23F?si=3f49cfaadc05445f,https://music.apple.com/us/album/underthewillowtree/1462362297
2025-05-04,Mantronix: The Album,Mantronix,,,"3,384,113",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_4/Mantronix-%20Mantronix_%20The%20Album.jpg,https://open.spotify.com/album/10kEW14CpfmiAkXnE5Ic3K?si=d296dc74eb5548bb,https://music.apple.com/us/album/the-album/341928107
2025-05-04,Down with the King,Run-D.M.C.,#7,Gold,"21,816,633",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_4/Run-D.M.C.-%20Down%20with%20the%20King.jpg,https://open.spotify.com/album/26gFD7tL928WDDcse3rPls?si=527b206af2804da4,https://music.apple.com/us/album/down-with-the-king/258594624
